站点号,乡镇,县/区,市,省,空气质量城市
101290601001,坝心彝族乡,文山,文山,云南,-
101290601002,薄竹镇,文山,文山,云南,-
101290601003,秉烈彝族乡,文山,文山,云南,-
101290601004,德厚镇,文山,文山,云南,-
101290601005,东山彝族乡,文山,文山,云南,-
101290601006,古木镇,文山,文山,云南,-
101290601007,红甸回族乡,文山,文山,云南,-
101290601008,开化街道办事处,文山,文山,云南,-
101290601009,柳井彝族乡,文山,文山,云南,-
101290601010,马塘镇,文山,文山,云南,-
101290601011,平坝镇,文山,文山,云南,-
101290601012,卧龙办事处,文山,文山,云南,-
101290601013,喜古乡,文山,文山,云南,-
101290601014,小街镇,文山,文山,云南,-
101290601015,新街乡,文山,文山,云南,-
101290601016,新平街道办事处,文山,文山,云南,-
101290601017,追栗街镇,文山,文山,云南,-
101290602001,柏林乡,西畴,文山,云南,-
101290602002,蚌谷乡,西畴,文山,云南,-
101290602003,董马乡,西畴,文山,云南,-
101290602004,法斗乡,西畴,文山,云南,-
101290602005,鸡街乡,西畴,文山,云南,-
101290602006,莲花塘乡,西畴,文山,云南,-
101290602007,西洒镇,西畴,文山,云南,-
101290602008,新马街乡,西畴,文山,云南,-
101290602009,兴街镇,西畴,文山,云南,-
101290603001,八寨镇,马关,文山,云南,-
101290603002,大栗树乡,马关,文山,云南,-
101290603003,都龙镇,马关,文山,云南,-
101290603004,古林箐乡,马关,文山,云南,-
101290603005,夹寒箐镇,马关,文山,云南,-
101290603006,金厂镇,马关,文山,云南,-
101290603007,马白镇,马关,文山,云南,-
101290603008,篾厂乡,马关,文山,云南,-
101290603009,木厂镇,马关,文山,云南,-
101290603010,南捞乡,马关,文山,云南,-
101290603011,坡脚镇,马关,文山,云南,-
101290603012,仁和镇,马关,文山,云南,-
101290603013,小坝子镇,马关,文山,云南,-
101290604001,八布乡,麻栗坡,文山,云南,-
101290604002,大坪镇,麻栗坡,文山,云南,-
101290604003,董干镇,麻栗坡,文山,云南,-
101290604004,六河乡,麻栗坡,文山,云南,-
101290604005,麻栗镇,麻栗坡,文山,云南,-
101290604006,马街乡,麻栗坡,文山,云南,-
101290604007,猛硐瑶族乡,麻栗坡,文山,云南,-
101290604008,天保镇,麻栗坡,文山,云南,-
101290604009,铁厂乡,麻栗坡,文山,云南,-
101290604010,下金厂乡,麻栗坡,文山,云南,-
101290604011,杨万乡,麻栗坡,文山,云南,-
101290605001,阿猛镇,砚山,文山,云南,-
101290605002,阿舍彝族乡,砚山,文山,云南,-
101290605003,八嘎乡,砚山,文山,云南,-
101290605004,蚌峨乡,砚山,文山,云南,-
101290605005,干河彝族乡,砚山,文山,云南,-
101290605006,回龙管理区,砚山,文山,云南,-
101290605007,稼依管理区,砚山,文山,云南,-
101290605008,稼依镇,砚山,文山,云南,-
101290605009,江那镇,砚山,文山,云南,-
101290605010,盘龙彝族乡,砚山,文山,云南,-
101290605011,平远管理区,砚山,文山,云南,-
101290605012,平远镇,砚山,文山,云南,-
101290605013,维末彝族乡,砚山,文山,云南,-
101290605014,者腊乡,砚山,文山,云南,-
101290606001,八道哨彝族乡,丘北,文山,云南,-
101290606002,官寨乡,丘北,文山,云南,-
101290606003,锦屏镇,丘北,文山,云南,-
101290606004,腻脚彝族乡,丘北,文山,云南,-
101290606005,平寨乡,丘北,文山,云南,-
101290606006,舍得彝族乡,丘北,文山,云南,-
101290606007,树皮彝族乡,丘北,文山,云南,-
101290606008,双龙营镇,丘北,文山,云南,-
101290606009,天星乡,丘北,文山,云南,-
101290606010,温浏乡,丘北,文山,云南,-
101290606011,新店彝族乡,丘北,文山,云南,-
101290606012,曰者镇,丘北,文山,云南,-
101290607001,八宝镇,广南,文山,云南,-
101290607002,坝美镇,广南,文山,云南,-
101290607003,板蚌乡,广南,文山,云南,-
101290607004,底圩乡,广南,文山,云南,-
101290607005,董堡乡,广南,文山,云南,-
101290607006,黑支果乡,广南,文山,云南,-
101290607007,旧莫乡,广南,文山,云南,-
101290607008,莲城镇,广南,文山,云南,-
101290607009,那洒镇,广南,文山,云南,-
101290607010,南屏镇,广南,文山,云南,-
101290607011,曙光乡,广南,文山,云南,-
101290607012,五珠乡,广南,文山,云南,-
101290607013,杨柳井乡,广南,文山,云南,-
101290607014,者太乡,广南,文山,云南,-
101290607015,者兔乡,广南,文山,云南,-
101290607016,珠街镇,广南,文山,云南,-
101290607017,珠琳镇,广南,文山,云南,-
101290607018,篆角乡,广南,文山,云南,-
101290608001,阿用乡,富宁,文山,云南,-
101290608002,板仑乡,富宁,文山,云南,-
101290608003,剥隘镇,富宁,文山,云南,-
101290608004,洞波瑶族乡,富宁,文山,云南,-
101290608005,谷拉乡,富宁,文山,云南,-
101290608006,归朝镇,富宁,文山,云南,-
101290608007,花甲乡,富宁,文山,云南,-
101290608008,里达镇,富宁,文山,云南,-
101290608009,木央镇,富宁,文山,云南,-
101290608010,那能乡,富宁,文山,云南,-
101290608011,田蓬镇,富宁,文山,云南,-
101290608012,新华镇,富宁,文山,云南,-
101290608013,者桑乡,富宁,文山,云南,-
101290101,,昆明,昆明,云南,true
101290102,,五华,昆明,云南,-
101290103,,东川,昆明,云南,-
101290104,,寻甸,昆明,云南,-
101290105,,晋宁,昆明,云南,-
101290106,,宜良,昆明,云南,-
101290107,,石林,昆明,云南,-
101290108,,呈贡,昆明,云南,-
101290109,,富民,昆明,云南,-
101290110,,嵩明,昆明,云南,-
101290111,,禄劝,昆明,云南,-
101290112,,安宁,昆明,云南,-
101290114,,盘龙,昆明,云南,-
101290115,,官渡,昆明,云南,-
101290116,,西山,昆明,云南,-
101290201,,大理,大理,云南,true
101290202,,云龙,大理,云南,-
101290203,,漾濞,大理,云南,-
101290204,,永平,大理,云南,-
101290205,,宾川,大理,云南,-
101290206,,弥渡,大理,云南,-
101290207,,祥云,大理,云南,-
101290208,,巍山,大理,云南,-
101290209,,剑川,大理,云南,-
101290210,,洱源,大理,云南,-
101290211,,鹤庆,大理,云南,-
101290212,,南涧,大理,云南,-
101290301,,红河,红河,云南,true
101290302,,石屏,红河,云南,-
101290303,,建水,红河,云南,-
101290304,,弥勒,红河,云南,-
101290305,,元阳,红河,云南,-
101290306,,绿春,红河,云南,-
101290307,,开远,红河,云南,-
101290308,,个旧,红河,云南,-
101290309,,蒙自,红河,云南,-
101290310,,屏边,红河,云南,-
101290311,,泸西,红河,云南,-
101290312,,金平,红河,云南,-
101290313,,河口,红河,云南,-
101290401,,曲靖,曲靖,云南,true
101290402,,沾益,曲靖,云南,-
101290403,,陆良,曲靖,云南,-
101290404,,富源,曲靖,云南,-
101290405,,马龙,曲靖,云南,-
101290406,,师宗,曲靖,云南,-
101290407,,罗平,曲靖,云南,-
101290408,,会泽,曲靖,云南,-
101290409,,宣威,曲靖,云南,-
101290410,,麒麟,曲靖,云南,-
101290501,,保山,保山,云南,true
101290502,,隆阳,保山,云南,-
101290503,,龙陵,保山,云南,-
101290504,,施甸,保山,云南,-
101290505,,昌宁,保山,云南,-
101290506,,腾冲,保山,云南,-
101290601,,文山,文山,云南,true
101290602,,西畴,文山,云南,-
101290603,,马关,文山,云南,-
101290604,,麻栗坡,文山,云南,-
101290605,,砚山,文山,云南,-
101290606,,丘北,文山,云南,-
101290607,,广南,文山,云南,-
101290608,,富宁,文山,云南,-
101290701,,玉溪,玉溪,云南,true
101290702,,澄江,玉溪,云南,-
101290703,,江川,玉溪,云南,-
101290704,,通海,玉溪,云南,-
101290705,,华宁,玉溪,云南,-
101290706,,新平,玉溪,云南,-
101290707,,易门,玉溪,云南,-
101290708,,峨山,玉溪,云南,-
101290709,,元江,玉溪,云南,-
101290710,,红塔,玉溪,云南,-
101290801,,楚雄,楚雄,云南,true
101290802,,大姚,楚雄,云南,-
101290803,,元谋,楚雄,云南,-
101290804,,姚安,楚雄,云南,-
101290805,,牟定,楚雄,云南,-
101290806,,南华,楚雄,云南,-
101290807,,武定,楚雄,云南,-
101290808,,禄丰,楚雄,云南,-
101290809,,双柏,楚雄,云南,-
101290810,,永仁,楚雄,云南,-
101290901,,普洱,普洱,云南,true
101290902,,景谷,普洱,云南,-
101290903,,景东,普洱,云南,-
101290904,,澜沧,普洱,云南,-
101290905,,思茅,普洱,云南,-
101290906,,墨江,普洱,云南,-
101290907,,江城,普洱,云南,-
101290908,,孟连,普洱,云南,-
101290909,,西盟,普洱,云南,-
101290911,,镇沅,普洱,云南,-
101290912,,宁洱,普洱,云南,-
101291001,,昭通,昭通,云南,true
101291002,,鲁甸,昭通,云南,-
101291003,,彝良,昭通,云南,-
101291004,,镇雄,昭通,云南,-
101291005,,威信,昭通,云南,-
101291006,,巧家,昭通,云南,-
101291007,,绥江,昭通,云南,-
101291008,,永善,昭通,云南,-
101291009,,盐津,昭通,云南,-
101291010,,大关,昭通,云南,-
101291011,,水富,昭通,云南,-
101291012,,昭阳,昭通,云南,-
101291101,,临沧,临沧,云南,true
101291102,,沧源,临沧,云南,-
101291103,,耿马,临沧,云南,-
101291104,,双江,临沧,云南,-
101291105,,凤庆,临沧,云南,-
101291106,,永德,临沧,云南,-
101291107,,云县,临沧,云南,-
101291108,,镇康,临沧,云南,-
101291109,,临翔,临沧,云南,-
101291201,,怒江,怒江,云南,true
101291203,,福贡,怒江,云南,-
101291204,,兰坪,怒江,云南,-
101291205,,泸水,怒江,云南,-
101291207,,贡山,怒江,云南,-
101291301,,迪庆,迪庆,云南,-
101291302,,德钦,迪庆,云南,-
101291303,,维西,迪庆,云南,-
101291305,,迪庆,迪庆,云南,-
101291401,,丽江,丽江,云南,true
101291402,,永胜,丽江,云南,-
101291403,,华坪,丽江,云南,-
101291404,,宁蒗,丽江,云南,-
101291405,,古城,丽江,云南,-
101291406,,玉龙,丽江,云南,-
101291501,,德宏,德宏,云南,true
101291503,,陇川,德宏,云南,-
101291504,,盈江,德宏,云南,-
101291506,,瑞丽,德宏,云南,-
101291507,,梁河,德宏,云南,-
101291508,,芒市,德宏,云南,-
101291601,,西双版纳,西双版纳,云南,true
101291602,,西双版纳,西双版纳,云南,-
101291603,,勐海,西双版纳,云南,-
101291605,,勐腊,西双版纳,云南,-
